iter	MultiClass
0	1.050224125
1	1.002252625
2	0.9597341163
3	0.9285425629
4	0.9025801248
5	0.8702799335
6	0.8439633459
7	0.8201864728
8	0.7944734692
9	0.7726682719
10	0.7521384172
11	0.7336553568
12	0.717209524
13	0.6995509058
14	0.6828567733
15	0.668835242
16	0.6554535259
17	0.6434219736
18	0.6336579553
19	0.6234492089
20	0.6120735243
21	0.6026066034
22	0.5927513758
23	0.5851345344
24	0.5774794165
25	0.5681249013
26	0.560585888
27	0.5526258266
28	0.5451657097
29	0.5379888199
30	0.5299346039
31	0.5229549329
32	0.5164534916
33	0.510036642
34	0.5055124975
35	0.4991882641
36	0.4938978005
37	0.4892801858
38	0.4838429143
39	0.479136163
40	0.4740633098
41	0.4705285186
42	0.4669736746
43	0.4634955196
44	0.4602155119
45	0.4576846303
46	0.4537615292
47	0.4497156052
48	0.4464911465
49	0.4431753483
50	0.439826017
51	0.4362261879
52	0.4327581925
53	0.4299082688
54	0.4271180929
55	0.4254741329
56	0.4232003322
57	0.4203704718
58	0.417538421
59	0.4150644536
60	0.4117526053
61	0.4100978895
62	0.4076144344
63	0.4049925266
64	0.4027855795
65	0.4000291784
66	0.3979043553
67	0.3960613884
68	0.3946796726
69	0.392694803
70	0.3909040905
71	0.3891671178
72	0.3875961203
73	0.3854393623
74	0.3833739354
75	0.3811269956
76	0.3796195566
77	0.3781129389
78	0.3764101789
79	0.3742801015
80	0.3728256717
81	0.3712435558
82	0.3703024069
83	0.3687962071
84	0.3674085918
85	0.3662993753
86	0.3645098392
87	0.3631991804
88	0.3622291202
89	0.3605921553
90	0.3596872526
91	0.3581223083
92	0.3564976405
93	0.3557959544
94	0.354525123
95	0.3539118212
96	0.3524882126
97	0.3505261783
98	0.3488948862
99	0.347401389
100	0.3457288966
101	0.3447542289
102	0.3433056164
103	0.3424712279
104	0.3416670204
105	0.3403080024
106	0.3392506064
107	0.3384573545
108	0.3373113396
109	0.3364989348
110	0.3354674691
111	0.3337239429
112	0.3328219187
113	0.3315939167
114	0.3301015474
115	0.3289300777
116	0.327971782
117	0.3268126888
118	0.326031841
119	0.3243950367
120	0.323192321
121	0.3220972603
122	0.3211981417
123	0.3201010535
124	0.3188271405
125	0.3179396019
126	0.3167259693
127	0.3153588587
128	0.314251207
129	0.3131813262
130	0.3125279115
131	0.3117361687
132	0.3109481835
133	0.3094945294
134	0.3085948584
135	0.3078502777
136	0.3065631575
137	0.3054572724
138	0.3047326689
139	0.3041496305
140	0.3031219073
141	0.3017032676
142	0.3007019273
143	0.2995533923
144	0.2988840365
145	0.2978226025
146	0.2968951097
147	0.295633064
148	0.2945414226
149	0.2936886408
150	0.292648175
151	0.2921944267
152	0.2909900207
153	0.2901673962
154	0.2894073083
155	0.2883507787
156	0.2875029869
157	0.2867970925
158	0.2856036331
159	0.2846087382
160	0.2836472346
161	0.2823670509
162	0.2814046868
163	0.2808954779
164	0.2801009296
165	0.2793065846
166	0.2784426872
167	0.2776684963
168	0.2766533122
169	0.276017446
170	0.2753627957
171	0.274272235
172	0.2732300194
173	0.2726145728
174	0.2713651117
175	0.2705342585
176	0.2693960006
177	0.2685579012
178	0.2677138
179	0.2669114182
180	0.2663465799
181	0.2657588296
182	0.2648182471
183	0.264174133
184	0.2631691651
185	0.2622795351
186	0.2616802311
187	0.2606480029
188	0.260238609
189	0.2595765478
190	0.2588894821
191	0.2582028365
192	0.2578996517
193	0.2573356269
194	0.2566120586
195	0.2560779597
196	0.2553889334
197	0.2544230804
198	0.2537899324
199	0.2530129549
200	0.2523627829
201	0.2519449238
202	0.2514838775
203	0.2508377014
204	0.2501648412
205	0.2495477699
206	0.2487539171
207	0.2484135276
208	0.2479388842
209	0.2471422366
210	0.2462689422
211	0.2457047385
212	0.2452972514
213	0.244640497
214	0.2438612128
215	0.2431044857
216	0.2427635284
217	0.2423049683
218	0.2416504774
219	0.2411320764
220	0.2403557784
221	0.2396445033
222	0.2389552993
223	0.2385506921
224	0.2382101018
225	0.2377178361
226	0.2371392403
227	0.2363487911
228	0.2359407787
229	0.2352582278
230	0.2346106607
231	0.2339057215
232	0.2331965526
233	0.2327185834
234	0.2323334524
235	0.2319315583
236	0.2313732646
237	0.2308061458
238	0.2303852256
239	0.2298695462
240	0.2294496347
241	0.2288105183
242	0.2281820651
243	0.2275384756
244	0.226909328
245	0.2264449854
246	0.2261825748
247	0.2256587272
248	0.2254542967
249	0.2246527015
250	0.2243460272
251	0.2239207183
252	0.2233572769
253	0.2226875221
254	0.2222218771
255	0.2217899811
256	0.2213305774
257	0.2210658618
258	0.2203922315
259	0.2200239516
260	0.2193704276
261	0.2191272923
262	0.2185973365
263	0.2179566176
264	0.2174065504
265	0.2169520244
266	0.2165919652
267	0.2162385786
268	0.2157415663
269	0.2153130649
270	0.2148571076
271	0.2142468187
272	0.213948397
273	0.2135133324
274	0.2128864676
275	0.2125690115
276	0.212092392
277	0.2115331374
278	0.2111971126
279	0.2108641083
280	0.2104696068
281	0.2101610587
282	0.2096741375
283	0.2092421224
284	0.2087084681
285	0.2084199341
286	0.2080916106
287	0.2077790528
288	0.2072451413
289	0.207028691
290	0.2064741121
291	0.2061509532
292	0.2056750488
293	0.2052747371
294	0.2047236159
295	0.2042325732
296	0.2039088014
297	0.203397096
298	0.2029061437
299	0.2025854153
300	0.202198239
301	0.20175042
302	0.2011405012
303	0.2008729599
304	0.2002680516
305	0.1998886079
306	0.1996763203
307	0.1993745518
308	0.1989220381
309	0.1985282113
310	0.1979160339
311	0.1975296338
312	0.1971701359
313	0.1968003665
314	0.1963195421
315	0.196050659
316	0.1957917227
317	0.1954338324
318	0.195296537
319	0.1947821066
320	0.1945511578
321	0.194028941
322	0.1935998993
323	0.1931096783
324	0.192847906
325	0.1924692858
326	0.1922337369
327	0.1919458397
328	0.1911673262
329	0.1908010096
330	0.1902675386
331	0.1897644488
332	0.1894793458
333	0.1891058661
334	0.1886504462
335	0.1883077771
336	0.1878570403
337	0.1875860575
338	0.1872003945
339	0.1868548368
340	0.1865873042
341	0.1863185284
342	0.1859906882
343	0.1857487465
344	0.1854345459
345	0.1851559676
346	0.1849448352
347	0.1846099111
348	0.1843036578
349	0.1839149955
350	0.1836301256
351	0.1832535311
352	0.1826030788
353	0.1822658831
354	0.1819606884
355	0.1814056669
356	0.1811841927
357	0.1808456674
358	0.1806309752
359	0.1804156607
360	0.1801311434
361	0.179772201
362	0.1794917679
363	0.1792663247
364	0.1790396919
365	0.1787829355
366	0.1786456105
367	0.178376183
368	0.1779706823
369	0.1776707561
370	0.1772895177
371	0.1770511955
372	0.1766619921
373	0.1764769491
374	0.1762661411
375	0.1759780402
376	0.1755536421
377	0.1752794023
378	0.1751825016
379	0.1749821531
380	0.1747598872
381	0.174530827
382	0.1744334508
383	0.1739319107
384	0.1737767962
385	0.1734819206
386	0.1731384102
387	0.1728630802
388	0.1726020531
389	0.1723300688
390	0.1720337832
391	0.1718782067
392	0.1715336232
393	0.1712109382
394	0.1708449585
395	0.1707194532
396	0.1705034574
397	0.1701835244
398	0.1697530011
399	0.1695976882
400	0.1693722188
401	0.1691255819
402	0.1688553617
403	0.168725029
404	0.1684339008
405	0.1681072961
406	0.1678136704
407	0.167391201
408	0.167154642
409	0.1668412406
410	0.166655695
411	0.166241715
412	0.1660699842
413	0.1656837998
414	0.1655191529
415	0.1652566044
416	0.165162042
417	0.1648602554
418	0.1645876254
419	0.16437107
420	0.163970381
421	0.1636962114
422	0.1634679862
423	0.1632888773
424	0.1630616329
425	0.1627590018
426	0.1624881156
427	0.1623827344
428	0.1620440396
429	0.161764373
430	0.1613827385
431	0.161094588
432	0.1609326439
433	0.1605949338
434	0.1604231558
435	0.1602527357
436	0.1600687336
437	0.1598535886
438	0.1594989926
439	0.1592335173
440	0.1590215163
441	0.1588719672
442	0.1587115443
443	0.1585655635
444	0.1583191641
445	0.1580152787
446	0.1576282119
447	0.1573326073
448	0.1571954031
449	0.1569359722
450	0.15671236
451	0.1564343338
