iter	Passed	Remaining
0	119	59868
1	123	30818
2	126	21013
3	128	15957
4	131	13058
5	136	11211
6	139	9834
7	143	8811
8	146	7987
9	149	7324
10	152	6795
11	156	6380
12	160	6029
13	164	5709
14	167	5423
15	171	5179
16	174	4961
17	179	4798
18	182	4622
19	186	4469
20	189	4323
21	193	4211
22	197	4089
23	200	3980
24	202	3853
25	206	3762
26	209	3672
27	212	3587
28	215	3507
29	218	3429
30	222	3369
31	225	3299
32	228	3232
33	231	3174
34	234	3115
35	237	3062
36	240	3009
37	243	2958
38	246	2908
39	249	2864
40	251	2820
41	255	2782
42	257	2740
43	260	2702
44	263	2665
45	266	2629
46	269	2596
47	271	2560
48	274	2528
49	277	2498
50	280	2469
51	283	2441
52	286	2414
53	289	2389
54	292	2365
55	295	2339
56	297	2315
57	300	2291
58	303	2268
59	306	2247
60	309	2225
61	312	2204
62	314	2184
63	318	2167
64	321	2149
65	324	2130
66	327	2113
67	330	2097
68	332	2079
69	335	2062
70	338	2044
71	341	2028
72	344	2012
73	348	2004
74	350	1988
75	353	1973
76	356	1958
77	359	1943
78	362	1929
79	365	1921
80	369	1911
81	373	1903
82	376	1890
83	379	1878
84	382	1869
85	386	1859
86	389	1847
87	391	1834
88	395	1824
89	398	1815
90	402	1806
91	405	1798
92	408	1788
93	411	1777
94	414	1768
95	418	1760
96	422	1754
97	425	1744
98	428	1737
99	431	1727
100	434	1717
101	437	1706
102	440	1697
103	443	1687
104	445	1677
105	449	1668
106	452	1660
107	455	1652
108	458	1643
109	461	1634
110	463	1625
111	466	1616
112	469	1607
113	472	1598
114	474	1589
115	477	1581
116	480	1572
117	483	1564
118	485	1555
119	489	1548
120	491	1540
121	494	1531
122	497	1523
123	499	1515
124	502	1507
125	505	1500
126	508	1492
127	510	1484
128	513	1477
129	516	1470
130	519	1463
131	522	1455
132	524	1447
133	528	1442
134	531	1435
135	534	1429
136	536	1422
137	539	1415
138	542	1408
139	546	1405
140	549	1400
141	553	1394
142	556	1388
143	558	1381
144	561	1375
145	566	1372
146	569	1368
147	572	1362
148	575	1355
149	578	1349
150	581	1343
151	585	1340
152	589	1337
153	592	1331
154	595	1325
155	598	1319
156	601	1313
157	604	1307
158	607	1302
159	610	1296
160	613	1291
161	616	1287
162	619	1281
163	622	1276
164	625	1270
165	628	1264
166	631	1259
167	634	1253
168	637	1248
169	640	1244
170	644	1239
171	647	1234
172	650	1229
173	653	1223
174	655	1218
175	659	1213
176	662	1208
177	664	1202
178	667	1197
179	670	1192
180	673	1186
181	676	1181
182	679	1176
183	681	1170
184	684	1165
185	687	1160
186	691	1156
187	694	1152
188	697	1147
189	700	1143
190	703	1137
191	706	1133
192	709	1128
193	712	1123
194	714	1118
195	717	1113
196	720	1108
197	723	1103
198	726	1098
199	729	1093
200	732	1088
201	734	1084
202	738	1080
203	741	1075
204	744	1070
205	746	1065
206	749	1061
207	752	1056
208	756	1053
209	759	1049
210	763	1045
211	766	1040
212	768	1035
213	771	1030
214	774	1026
215	777	1022
216	780	1017
217	783	1013
218	786	1009
219	790	1005
220	793	1001
221	796	996
222	798	992
223	801	987
224	804	983
225	807	979
226	810	974
227	813	970
228	816	966
229	819	961
230	823	958
231	826	954
232	829	950
233	832	945
234	834	941
235	837	937
236	840	933
237	843	928
238	846	924
239	849	920
240	853	916
241	856	912
242	858	908
243	861	904
244	864	899
245	866	895
246	869	890
247	872	886
248	875	882
249	878	878
250	881	874
251	883	869
252	886	865
253	889	861
254	892	857
255	895	853
256	898	849
257	900	845
258	903	840
259	906	836
260	909	832
261	912	828
262	914	824
263	917	820
264	920	816
265	923	812
266	926	808
267	928	804
268	931	800
269	934	796
270	938	792
271	941	789
272	945	785
273	948	781
274	950	778
275	953	773
276	957	770
277	960	766
278	963	763
279	966	759
280	969	755
281	972	751
282	976	748
283	979	744
284	982	740
285	985	737
286	988	733
287	991	729
288	995	726
289	997	722
290	1000	718
291	1004	715
292	1007	711
293	1010	707
294	1012	703
295	1015	700
296	1019	696
297	1022	692
298	1025	689
299	1028	685
300	1031	681
301	1035	678
302	1038	675
303	1041	671
304	1044	667
305	1047	663
306	1050	660
307	1052	656
308	1055	652
309	1058	648
310	1061	645
311	1064	641
312	1067	637
313	1070	634
314	1073	630
315	1076	626
316	1079	622
317	1081	619
318	1084	615
319	1087	611
320	1090	607
321	1092	604
322	1095	600
323	1098	596
324	1101	593
325	1104	589
326	1106	585
327	1109	582
328	1112	578
329	1115	574
330	1118	570
331	1121	567
332	1123	563
333	1126	560
334	1129	556
335	1132	552
336	1135	549
337	1138	545
338	1141	541
339	1143	538
340	1146	534
341	1149	531
342	1152	527
343	1155	523
344	1158	520
345	1161	516
346	1163	513
347	1167	509
348	1170	506
349	1173	502
350	1176	499
351	1179	495
352	1182	492
353	1185	489
354	1189	485
355	1192	482
356	1195	478
357	1198	475
358	1200	471
359	1204	468
360	1207	464
361	1211	461
362	1214	458
363	1216	454
364	1219	451
365	1222	447
366	1225	444
367	1229	440
368	1232	437
369	1235	434
370	1238	430
371	1242	427
372	1245	423
373	1247	420
374	1250	416
375	1253	413
376	1256	409
377	1259	406
378	1262	403
379	1265	399
380	1268	396
381	1271	392
382	1273	389
383	1276	385
384	1279	382
385	1282	378
386	1285	375
387	1288	371
388	1291	368
389	1293	364
390	1296	361
391	1299	358
392	1302	354
393	1305	351
394	1308	347
395	1311	344
396	1314	340
397	1317	337
398	1320	334
399	1323	330
400	1326	327
401	1329	324
402	1332	320
403	1335	317
404	1339	314
405	1342	310
406	1345	307
407	1348	303
408	1351	300
409	1354	297
410	1357	294
411	1360	290
412	1363	287
413	1366	283
414	1370	280
415	1373	277
416	1376	274
417	1379	270
418	1382	267
419	1385	263
420	1388	260
421	1391	257
422	1394	253
423	1397	250
424	1400	247
425	1403	243
426	1406	240
427	1409	237
428	1412	233
429	1415	230
430	1419	227
431	1422	223
432	1426	220
433	1429	217
434	1433	214
435	1435	210
436	1438	207
437	1441	204
438	1445	200
439	1449	197
440	1452	194
441	1455	190
442	1458	187
443	1460	184
444	1463	180
445	1466	177
446	1469	174
447	1472	170
448	1475	167
449	1478	164
450	1482	161
451	1484	157
452	1487	154
453	1490	151
454	1493	147
455	1496	144
456	1499	141
457	1501	137
458	1504	134
459	1507	131
460	1511	127
461	1513	124
462	1516	121
463	1519	117
464	1522	114
465	1530	111
466	1533	108
467	1536	105
468	1539	101
469	1542	98
470	1544	95
471	1547	91
472	1550	88
473	1553	85
474	1555	81
475	1558	78
476	1561	75
477	1564	72
478	1568	68
479	1571	65
480	1574	62
481	1577	58
482	1580	55
483	1583	52
484	1586	49
485	1589	45
486	1592	42
487	1595	39
488	1599	35
489	1602	32
490	1606	29
491	1609	26
492	1613	22
493	1616	19
494	1622	16
495	1628	13
496	1631	9
497	1635	6
498	1639	3
499	1647	0
